"label","text"
"Umbrella_06926","&#xE;2\0&#x4;ā촃Karoschirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_07169","&#xE;2\0&#x4;ā촃Ahornschirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_07180","&#xE;2\0&#x4;ā촃3-Farben-Schirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_09950","&#xE;2\0&#x4;ā촃Birnenschirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_07181","&#xE;2\0&#x4;ā촃Margeritenschirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_09951","&#xE;2\0&#x4;ā촃Melonenschirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_07182","&#xE;2\0&#x4;ā촃Antikschirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_09952","&#xE;2\0&#x4;ā촃Minzschirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_07183","&#xE;2\0&#x4;ā촃Violett-Klassikschirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_09953","&#xE;2\0&#x4;ā촃Picknickschirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_09954","&#xE;2\0&#x4;ā촃Zitrusschirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_09955","&#xE;2\0&#x4;ā촃Eigelbschirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_09956","&#xE;2\0&#x4;ā촃Wolkenschirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_05861","&#xE;2\0&#x4;ā촃Punkteschirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_06910","&#xE;2\0&#x4;ā촃Ananasschirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_09957","&#xE;2\0&#x4;ā촃Strandschirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_06911","&#xE;2\0&#x4;ā촃Traubenschirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_09958","&#xE;2\0&#x4;ā촃Rubinschirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_06912","&#xE;2\0&#x4;ā촃Orangenschirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_09959","&#xE;2\0&#x4;ā촃Aquaschirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_06913","&#xE;2\0&#x4;ā촃Tropfenschirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_06914","&#xE;2\0&#x4;ā촃Blümchenschirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_06915","&#xE;2\0&#x4;ā촃Spitzenschirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_06916","&#xE;2\0&#x4;ā촃Streifenschirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_06917","&#xE;2\0&#x4;ā촃Schottenmusterschirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_07170","&#xE;2\0&#x4;ā촃Pandaschirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_08767","&#xE;2\0&#x4;ā촃Marienkäferschirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_06918","&#xE;2\0&#x4;ā촃Pünktchen-Plastikschirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_07171","&#xE;2\0&#x4;ā촃Asienschirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_08768","&#xE;2\0&#x4;ā촃Fischschirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_06919","&#xE;2\0&#x4;ā촃Flederschirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_07172","&#xE;2\0&#x4;ā촃Logoschirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_09560","&#xE;2\0&#x4;ā촃DAL-Schirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_07173","&#xE;2\0&#x4;ā촃Spinnwebenschirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_09561","&#xE;2\0&#x4;ā촃Nook-Inc.-Schirm&#xE;2&#x16;\n\0\0\0&#x2;s"
