"label","text"
"Poster_10548","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Боунса"
"Poster_10653","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Билла"
"Poster_10802","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Перл"
"Poster_10342","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Дона"
"Poster_10549","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Руди"
"Poster_10654","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Дели"
"Poster_10803","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Чау"
"Poster_10343","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Бланки"
"Poster_10655","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Элли"
"Poster_10804","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Жака"
"Poster_10344","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Ната"
"Poster_10656","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Пэтти"
"Poster_10805","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Рози"
"Poster_10345","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Чипа"
"Poster_10450","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Элвиса"
"Poster_10657","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Джиджи"
"Poster_10806","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Гризли"
"Poster_10346","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Джека"
"Poster_10451","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Канберры"
"Poster_10600","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Кэлли"
"Poster_10658","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Квилсона"
"Poster_10807","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Ангуса"
"Poster_10347","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Пончо"
"Poster_10452","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Колтона"
"Poster_10601","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Саймона"
"Poster_10659","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Марси"
"Poster_10808","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Твигги"
"Poster_10348","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Фелисити"
"Poster_10453","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Марины"
"Poster_10602","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Игли"
"Poster_10809","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Робин"
"Poster_10349","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Оззи"
"Poster_10454","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Крэкла"
"Poster_10603","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Вивьен"
"Poster_10455","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Фреклс"
"Poster_10560","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Леонардо"
"Poster_10604","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Хопкинса"
"Poster_10456","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Бама"
"Poster_10561","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Миры"
"Poster_10605","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Джун"
"Poster_10457","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Фриги"
"Poster_10562","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Пьетро"
"Poster_10606","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Лопеса"
"Poster_10400","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Бенедикта"
"Poster_10458","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Рики"
"Poster_10563","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Авроры"
"Poster_10607","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Паоло"
"Poster_10401","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Агнес"
"Poster_10459","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Дейрдре"
"Poster_10564","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Папи"
"Poster_10608","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Хорнсби"
"Poster_10402","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Джулиана"
"Poster_10565","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Эпл"
"Poster_10609","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Стеллы"
"Poster_10670","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Дины"
"Poster_10403","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Беттины"
"Poster_10566","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Рода"
"Poster_10671","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Снейка"
"Poster_10820","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Моник"
"Poster_10360","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Принса"
"Poster_10404","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Джея"
"Poster_10567","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Статика"
"Poster_10672","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Бэнгл"
"Poster_10821","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Нэйта"
"Poster_10361","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Пэйт"
"Poster_10405","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Спринкл"
"Poster_10510","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Мейпл"
"Poster_10568","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Селии"
"Poster_10673","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Фила"
"Poster_10822","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Туту"
"Poster_10362","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Владимира"
"Poster_10406","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Флипа"
"Poster_10511","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Солей"
"Poster_10569","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Цукера"
"Poster_10674","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Самсона"
"Poster_10823","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Ти-Боуна"
"Poster_10363","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Саванны"
"Poster_10407","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Хью"
"Poster_10512","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Аполло"
"Poster_10675","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Минт"
"Poster_10780","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Пита"
"Poster_10824","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Аннализы"
"Poster_10364","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Кидда"
"Poster_10408","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Хоппера"
"Poster_10513","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Дервина"
"Poster_10676","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Паджа"
"Poster_10781","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Франклина"
"Poster_10365","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Фиби"
"Poster_10409","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Пекан"
"Poster_10470","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Греты"
"Poster_10514","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Франсин"
"Poster_10677","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Мидж"
"Poster_10782","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Анчоуи"
"Poster_10366","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Эгберта"
"Poster_10471","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Рэдда"
"Poster_10515","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Крисси"
"Poster_10620","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Билли"
"Poster_10678","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Граффа"
"Poster_10783","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Паулы"
"Poster_10367","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Куки"
"Poster_10472","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Вольфи"
"Poster_10516","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Брюстера"
"Poster_10621","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Бойда"
"Poster_10679","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Фларри"
"Poster_10784","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Митци"
"Poster_10368","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Слая"
"Poster_10473","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Дивы"
"Poster_10517","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Катрины"
"Poster_10622","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Битти"
"Poster_10785","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Паскаля"
"Poster_10369","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Блер"
"Poster_10474","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Дейзи"
"Poster_10518","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Грейси"
"Poster_10623","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Мэгги"
"Poster_10786","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Тэнджи"
"Poster_10312","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Изабель"
"Poster_10475","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Стинки"
"Poster_10519","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Лейлани"
"Poster_10580","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Бекки"
"Poster_10624","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Мерфи"
"Poster_10787","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Харриет"
"Poster_10313","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Ресетти"
"Poster_10476","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Тэмми"
"Poster_10581","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Риццо"
"Poster_10625","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Рашера"
"Poster_10788","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Беардо"
"Poster_10314","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Панчетти"
"Poster_10477","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Такера"
"Poster_10582","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Сидни"
"Poster_10626","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Плаки"
"Poster_10789","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Мерри"
"Poster_10315","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Чифа"
"Poster_10420","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Панго"
"Poster_10478","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Бланш"
"Poster_10583","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Барольда"
"Poster_10627","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Сэнди"
"Poster_10316","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Банни"
"Poster_10421","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Китона"
"Poster_10479","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Гастона"
"Poster_10584","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Ниблз"
"Poster_10628","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Клода"
"Poster_10317","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Клэя"
"Poster_10422","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Глэдис"
"Poster_10585","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Кевина"
"Poster_10629","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Рэддла"
"Poster_10690","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Роско"
"Poster_10318","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Дианы"
"Poster_10423","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Хэмфри"
"Poster_10586","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Глории"
"Poster_10691","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Трафлс"
"Poster_10319","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Акселя"
"Poster_10380","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Граучо"
"Poster_10424","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Фреи"
"Poster_10587","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Лобо"
"Poster_10692","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Юджина"
"Poster_10381","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Венди"
"Poster_10425","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Агента С"
"Poster_10530","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Фауны"
"Poster_10588","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Гиппо"
"Poster_10693","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Юнис"
"Poster_10382","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Альфонсо"
"Poster_10426","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Биг-Топа"
"Poster_10531","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Пичес"
"Poster_10589","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Марджи"
"Poster_10694","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Гуса"
"Poster_10383","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Ронды"
"Poster_10427","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Рокет"
"Poster_10532","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Диззи"
"Poster_10695","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Бернардо"
"Poster_11121","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Hello Kitty"
"Poster_10384","&#xE;2\0&#x4;&#x1;촀постер&#xE;2&#x16;&#xC;\0\0&#x2;у&#x2;а Тома Нука"
