"label","text"
"InsectToy_05935","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и блохи"
"InsectToy_07087","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и палочника"
"InsectToy_07115","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и рогача-жирафа"
"InsectToy_05936","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и комара"
"InsectToy_07088","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и радуж. жука-оленя"
"InsectToy_07116","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и щитника с лицом"
"InsectToy_07089","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и медведки"
"InsectToy_07117","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и урании мадагаск."
"InsectToy_05938","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и дупляка"
"InsectToy_07118","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и син. долгоносика"
"InsectToy_07119","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и розалии"
"InsectToy_07050","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и красной стрекозы"
"InsectToy_07051","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и птицекрылки Ал."
"InsectToy_07052","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и водомерки"
"InsectToy_07053","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и муравья"
"InsectToy_07070","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и цитрусового усача"
"InsectToy_07054","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и мокрицы"
"InsectToy_07071","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и бианора"
"InsectToy_07055","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и морского таракана"
"InsectToy_07072","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и улитки"
"InsectToy_07056","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и павлиноглазки"
"InsectToy_07073","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и кузнечика"
"InsectToy_07090","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и кордулегастера"
"InsectToy_07101","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и паука-птицееда"
"InsectToy_05922","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и жука-оленя"
"InsectToy_07057","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и плавунца"
"InsectToy_07074","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и навозника-землер."
"InsectToy_07091","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и монарха"
"InsectToy_07102","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и божьей коровки"
"InsectToy_07058","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и дозорщика"
"InsectToy_07075","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и жука-атласа"
"InsectToy_07092","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и гигант. жука-оленя"
"InsectToy_07103","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и перелетн. саранчи"
"InsectToy_07120","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и водяного клопа"
"InsectToy_05924","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и жука-геркулеса"
"InsectToy_07059","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и жука-голиафа"
"InsectToy_07076","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и листотела"
"InsectToy_07093","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и лампримы"
"InsectToy_07104","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и горной цикады"
"InsectToy_07121","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и равнокр. стрекозы"
"InsectToy_07077","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и сверчка"
"InsectToy_07094","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и скорпиона"
"InsectToy_07105","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и жужелицы"
"InsectToy_07078","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и гигантской цикады"
"InsectToy_07095","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и кокона цикады"
