"label","text"
"FishToy_07018","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и морского судака"
"FishToy_06964","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и кайман. черепахи"
"FishToy_06981","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и рыбы-клоуна"
"FishToy_07019","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и мохнорукого краба"
"FishToy_06965","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и камбалы"
"FishToy_06982","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и морского ангела"
"FishToy_06949","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и красн. хвостокола"
"FishToy_06983","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и тунца"
"FishToy_06984","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и луны-рыбы"
"FishToy_06985","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и оризии"
"FishToy_06987","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и сома"
"FishToy_06988","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и флагового хирурга"
"FishToy_06989","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и рыбы-наполеона"
"FishToy_07000","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и светлого закко"
"FishToy_07001","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и головастика"
"FishToy_06930","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и золотой рыбки"
"FishToy_07002","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и акулы-пилоноса"
"FishToy_06931","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и горчака"
"FishToy_07003","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и гольца"
"FishToy_07020","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и красного луциана"
"FishToy_06932","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и ставриды"
"FishToy_07004","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и щуки"
"FishToy_07021","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и морского конька"
"FishToy_06933","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и скалярии"
"FishToy_06950","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и многопера Эндлих."
"FishToy_07005","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и пираньи"
"FishToy_07022","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и тилапии"
"FishToy_06951","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и бурого скалозуба"
"FishToy_07006","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и арапаимы"
"FishToy_07023","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и осетра"
"FishToy_06935","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и араваны"
"FishToy_06952","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и панцирной щуки"
"FishToy_07007","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и змееголова"
"FishToy_07024","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и ельца"
"FishToy_06936","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и айю"
"FishToy_06953","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и золотой форели"
"FishToy_07008","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и радужницы"
"FishToy_07025","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и мурены"
"FishToy_07836","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и крылатки"
"FishToy_06937","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и сиамского петушка"
"FishToy_06954","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и гуппи"
"FishToy_07009","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и ранчу"
"FishToy_07026","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и малой корюшки"
"FishToy_07837","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и дорадо"
"FishToy_06938","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и большерот. окуня"
"FishToy_06955","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и носатой мурены"
"FishToy_07027","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и симы"
"FishToy_06939","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и солнечника"
"FishToy_06956","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и ежа-рыбы"
"FishToy_06990","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и голубого неона"
"FishToy_07028","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и желтого окуня"
"FishToy_06957","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и ложного палтуса"
"FishToy_06991","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и карпа кои"
"FishToy_07029","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и рака"
"FishToy_06958","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и кальмара"
"FishToy_06959","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и полосат. оплегната"
